banc_626_edge_list,fafb_783_edge_list,mcns_0.9_edge_list
720575941594106407,720575940619794648,115130
720575941591846763,720575940627281513,116522
720575941409909675,720575940630220844,77732
720575941612127452,720575940618119739,30066
720575941391580164,720575940629694970,53511
720575941513774801,720575940621371557,43232
720575941526929485,720575940623888397,10302
720575941596556700,720575940624215221,57499
720575941409201323,720575940645147848,43411
720575941465236566,720575940620225313,11214
720575941558715118,720575940640035261,43478
720575941669437095,720575940640062005,65742
720575941550714942,720575940614278696,99038
720575941414717468,720575940619565214,15468
720575941511927116,720575940616558548,16260
720575941506891905,720575940613905645,44112
720575941431903502,720575940612793457,545048
720575941518269550,720575940620818261,87514
720575941610682345,720575940629587791,41087
720575941622490876,720575940645369892,57463
720575941579286865,720575940635065369,539413
720575941459446995,720575940625010407,101762
720575941429971887,720575940632700364,63092
720575941613477017,720575940611424098,45949
720575941547765025,720575940636523188,87555
720575941574884790,720575940631232018,31391
720575941513773379,720575940620115029,36480
720575941484166074,720575940628074748,56577
720575941666318579,720575940624247479,81528
720575941538580093,720575940633500185,91368
720575941517604206,720575940613934563,84006
720575941504629157,720575940609829077,45389
720575941686619916,720575940607982466,85651
720575941474098491,720575940627907859,144721
720575941567973108,720575940624613936,70632
720575941438279999,720575940618334649,76687
720575941551555583,720575940632895059,77910
720575941512258892,720575940635203735,49436
720575941469218167,720575940623453695,97197
720575941615633109,720575940614008360,95202
720575941591868267,720575940631266092,84606
720575941508503312,720575940625989048,86584
720575941631077573,720575940608492757,84452
720575941558585359,720575940622296692,130994
720575941518234734,720575940631541445,68990
720575941574347702,720575940622945485,60730
720575941582492255,720575940616888662,71592
720575941580440441,720575940627174135,54426
720575941624818075,720575940617127307,65908
720575941624107978,720575940632063289,81733
720575941582410591,720575940626762183,92242
720575941503252018,720575940616836364,41042
720575941501938007,720575940605106110,104497
720575941493343102,720575940623898760,107947
720575941529912267,720575940608321410,70838
720575941568043122,720575940635112729,87056
720575941555046884,720575940624700088,86687
720575941572249851,720575940639884861,97631
720575941669416871,720575940629175375,90482
720575941514709497,720575940645108680,15343
720575941609340234,720575940611913938,94361
720575941548145213,720575940627458300,50112
720575941534695706,720575940641322485,73139
720575941550688830,720575940605204140,64361
720575941662312060,720575940635244956,73527
720575941562889984,720575940624162229,112920
720575941488525621,720575940655144865,98894
720575941563874914,720575940616148074,68044
720575941480962639,720575940626315194,70882
720575941436335660,720575940631346895,72852
720575941596756160,720575940615709343,73495
720575941477248106,720575940614771679,83257
720575941618719871,720575940614721534,81487
720575941593309479,720575940638261311,91102
720575941578734425,720575940628045480,37638
720575941660520760,720575940617677524,75540
720575941593594919,720575940625056037,87005
720575941469775479,720575940608732252,127170
720575941448763214,720575940615801798,35856
720575941610395878,720575940623461000,87924
720575941686191855,720575940621422597,70093
720575941514023683,720575940638310197,63103
720575941414917660,720575940614273331,80911
720575941436395820,720575940612830179,84422
720575941490147276,720575940611216482,56792
720575941671117479,720575940627352638,125747
720575941643569057,720575940609233365,133131
720575941400183075,720575940615388562,67166
720575941453629235,720575940615855254,74880
720575941525843993,720575940618395229,88418
720575941668612529,720575940624783653,90035
720575941626747686,720575940645131287,88159
720575941532586371,720575940630997957,75974
720575941721499194,720575940631271372,60630
