banc_626_edge_list,fafb_783_edge_list,mcns_0.9_edge_list
720575941497238241,720575940637908131,78325
720575941510356752,720575940621499270,78911
720575941526929485,720575940623888397,10302
720575941541945117,720575940628369039,30500
720575941494371527,720575940619173430,128916
720575941461022675,720575940636641647,57463
720575941686130927,720575940636783022,55798
720575941481756346,720575940625381264,98395
720575941550651454,720575940637952624,84935
720575941701526746,720575940622666503,37477
720575941721929530,720575940630919895,93100
720575941513286220,720575940630485548,15057
720575941507111458,720575940630770370,60745
720575941562221970,720575940613376242,70635
720575941465187670,720575940620012671,98798
720575941609097034,720575940631958339,15761
720575941562889984,720575940618947329,117525
720575941616253397,720575940648373380,79849
720575941525502797,720575940630329088,80358
720575941501958743,720575940612970901,30007
720575941652423441,720575940630091776,34564
720575941611633628,720575940616836364,120992
720575941564447239,720575940661041025,83485
720575941585098206,720575940630146971,67187
720575941493256880,720575940641042061,92834
720575941686690316,720575940623160968,18673
720575941546255496,720575940633748450,64972
720575941515275667,720575940604941024,84072
720575941491674574,720575940620948095,84921
720575941554258916,720575940622305449,77280
720575941476821790,720575940639234931,38324
720575941574084239,720575940620536589,89728
720575941553210522,720575940628105749,98588
720575941603182782,720575940619218481,80667
720575941522323275,720575940623453695,66014
720575941504331068,720575940621959039,81855
720575941514705811,720575940625536696,43916
720575941498800865,720575940608555868,80561
720575941480659651,720575940634124430,24100
720575941575413352,720575940641791989,122873
720575941498110843,720575940620947695,82696
720575941563540487,720575940636212660,86225
720575941618704255,720575940624248614,82038
720575941587694404,720575940613640258,38610
720575941593892721,720575940621111629,40808
720575941570665374,720575940619983518,53499
720575941545909940,720575940632351506,75852
720575941469254519,720575940636964975,112461
720575941594625393,720575940638882532,96507
720575941529392331,720575940633251665,69128
720575941582410591,720575940620139105,145953
720575941514709497,720575940608321410,126702
720575941570681758,720575940618545638,69536
720575941512481745,720575940645009444,79853
720575941434752544,720575940625718676,54565
720575941460671888,720575940616148074,82318
720575941514761209,720575940635535608,63184
720575941540846684,720575940607237250,83626
720575941477142634,720575940635737336,88680
720575941500134795,720575940659418241,42273
720575941603826878,720575940626375230,68603
720575941514765561,720575940631342551,66335
720575941540947292,720575940631821871,115573
720575941514350851,720575940621996097,66553
720575941602641398,720575940604891680,81773
720575941579874169,720575940623704061,88870
720575941451784826,720575940631138103,127170
720575941456817648,720575940632537145,37721
720575941482420221,720575940645131287,39279
720575941642790482,720575940636594533,102786
720575941533378738,720575940636682095,77524
720575941603197886,720575940632747880,40613
720575941436361772,720575940627633738,57237
720575941612601107,720575940612730920,71514
720575941592986070,720575940628322386,80170
720575941454768877,720575940631796537,63824
720575941613725337,720575940652015862,93228
720575941525067010,720575940618310356,95202
720575941644494200,720575940630797911,149045
720575941610386662,720575940635378016,91949
720575941572204872,720575940606800305,103773
720575941593637669,720575940636634743,65091
720575941559006835,720575940661267073,11887
720575941688888795,720575940624660971,82605
720575941573617039,720575940628068008,73535
720575941479127971,720575940638826822,83426
720575941496070528,720575940626509673,49182
720575941721321018,720575940626315194,73001
720575941484651661,720575940632738897,44829
720575941619895679,720575940632063289,40656
720575941541013789,720575940633914707,78241
720575941596558492,720575940635946095,68898
720575941474247722,720575940629271056,74251
720575941522277963,720575940611424098,31333
720575941567771506,720575940628286590,67036
720575941643138680,720575940639884861,90748
720575941679404989,720575940626840164,49039
720575941481862842,720575940645704983,81562
720575941556885028,720575940635907179,76253
720575941488840501,720575940638722394,98279
720575941611644892,720575940618898715,41203
720575941412962452,720575940634726648,71061
720575941657120080,720575940619573876,75473
720575941482035197,720575940622353065,78728
720575941669923239,720575940636841870,15194
720575941432505870,720575940621750644,113243
720575941439883215,720575940621538428,67049
720575941486705872,720575940625667052,47278
