banc_626_edge_list,fafb_783_edge_list,mcns_0.9_edge_list
720575941721542970,720575940617821657,105205
720575941522655991,720575940605349804,86777
720575941526929485,720575940623888397,10302
720575941550688830,720575940605204140,64361
720575941439853503,720575940625362952,71143
720575941572249851,720575940628028541,73558
720575941595444337,720575940621315604,123564
720575941511956556,720575940642592475,85948
720575941559475757,720575940614896815,93710
720575941541945117,720575940628369039,30500
720575941536274920,720575940620819038,99336
720575941536428008,720575940616362562,111055
720575941552135707,720575940633500185,84962
720575941490056679,720575940626172346,10439
720575941611356892,720575940621569577,10914
720575941480659651,720575940616684594,42244
720575941651708689,720575940627286530,85947
720575941537675762,720575940613523685,69680
720575941510356752,720575940621499270,78911
720575941411452783,720575940634695905,49039
720575941543394309,720575940628443962,68224
720575941685845622,720575940619723467,128494
720575941461022675,720575940636641647,57463
720575941481756346,720575940625381264,98395
720575941412581268,720575940614278696,74609
720575941481120675,720575940617030329,64138
720575941474187067,720575940620113969,73001
720575941513181507,720575940609829077,26769
720575941474197819,720575940613478166,78748
720575941504644924,720575940623697165,71987
720575941589192702,720575940631655419,33771
720575941632367291,720575940623787619,115873
720575941631077573,720575940617528693,15468
720575941660520760,720575940635628951,77823
720575941578043473,720575940653566198,130730
720575941351173424,720575940628664571,13736
720575941439841999,720575940645110039,90432
720575941593611557,720575940621712152,84010
720575941613725337,720575940627654202,50722
720575941502473707,720575940624593643,554756
720575941593354789,720575940628378311,119054
720575941545969084,720575940613454888,79804
720575941573106441,720575940632771385,65506
720575941512258892,720575940609237973,50658
720575941554277092,720575940614606573,68081
720575941469194871,720575940618099101,140499
720575941688980120,720575940645885219,122549
720575941467935965,720575940610881912,61713
720575941484383810,720575940627030873,54426
720575941524872194,720575940627996568,58486
720575941504871740,720575940610161365,65361
720575941660769336,720575940610203460,90234
720575941666911987,720575940614273331,84422
720575941429392777,720575940629271056,30222
720575941473078826,720575940612951154,71514
720575941588168503,720575940647127348,97177
720575941430822871,720575940606363778,57499
720575941530618597,720575940632691231,76783
720575941580578937,720575940619794648,77673
720575941533178090,720575940654642081,68694
720575941538483917,720575940613139418,80221
720575941409909675,720575940620032971,103583
720575941578311249,720575940629884688,73807
720575941479323215,720575940620049064,72174
720575941497238241,720575940637908131,78325
720575941537330674,720575940621811113,49436
720575941643976392,720575940619442113,79746
720575941525502797,720575940623955946,111198
720575941593978663,720575940624336637,96735
720575941486705872,720575940629672041,77194
720575941574593032,720575940614618274,94361
720575941624083658,720575940622116095,40018
720575941494371527,720575940619173430,128916
720575941437506623,720575940640430720,78937
720575941613695385,720575940633584076,75408
720575941686619916,720575940627758869,62728
720575941443321258,720575940630930127,75866
720575941448021941,720575940632415458,94864
720575941572675080,720575940627367230,110987
720575941721300282,720575940652658166,61194
720575941624312172,720575940619069758,60745
720575941654164436,720575940628808235,35590
720575941657438744,720575940624376300,100735
720575941469218167,720575940606069937,90434
720575941514992275,720575940620913243,58099
720575941489885134,720575940619149366,101084
720575941391410582,720575940632799336,43916
720575941688978584,720575940634985567,39471
720575941475594036,720575940635684276,51841
720575941686130927,720575940636783022,55798
720575941655213268,720575940615700369,98726
720575941501739755,720575940626292773,64191
720575941475934494,720575940624613936,68966
720575941527967160,720575940639458000,76999
720575941570681758,720575940639831411,82846
720575941410747503,720575940621511441,84475
720575941550666814,720575940631432552,38820
720575941574069903,720575940618080285,79076
720575941437937119,720575940629806075,59998
720575941406704558,720575940619573876,82338
720575941721313850,720575940606278944,60805
